Weather,Road_Type,Time,Vehicle_Count,Speed,Accident,Peak_Hour,Day_Night,Traffic_Density
0,2,14,-1.2880002490303826,1.6189634525811012,0,0,1,-1.0265057098878698
2,1,17,1.1316861182680134,0.8209301038622082,0,1,1,-0.05140437862342087
0,2,17,0.07217847814918908,-0.7751365935755778,0,1,1,0.2600727150174164
0,1,19,-1.4598122987793811,-0.07286724670295196,0,1,0,-0.9960590894060838
2,2,8,1.2891804972045953,-0.6793725917293106,0,1,1,1.0573693583595318
2,2,23,-1.5027653112166308,-0.5516872559342878,0,0,0,-0.9735284229374561
0,1,1,0.4730732608968523,0.05481808909207092,1,0,0,-0.02830647554839868
1,2,7,0.9455563977065983,1.4593567828373226,1,0,1,-0.3003230850821094
0,0,19,-0.9873291619696352,-1.6370126101919822,0,1,0,0.1766664922287691
0,1,1,-0.8871054662827194,-0.009024578805440518,0,0,0,-0.7038297573938106
0,0,10,1.5755339134529263,-1.3816419386019365,1,1,1,2.9543671741162627
0,1,6,1.0028270809562645,-0.6474512577805549,0,0,1,0.813561878703391
2,2,5,-0.2141749380991418,0.4697954304258953,0,0,0,-0.494320618096076
0,2,9,-1.144823540906217,1.7466487883761241,1,1,1,-0.9887698157559547
1,2,4,0.9169210560817651,0.5336380983234067,1,0,0,-0.030511473857072816
2,1,10,-0.3287163045984741,-1.094349933063135,0,1,1,0.23392698184416588
1,0,0,-1.1877765533434668,1.7466487883761241,0,0,0,-1.0016436135735214
1,0,1,-0.07099822997497635,0.1825034248870938,0,0,0,-0.3476228972860252
1,1,23,-1.1734588825310501,-0.6474512577805549,0,0,0,-0.7281729387215731
1,1,0,1.7330282923895082,-0.23247391644673057,0,0,0,0.848018219920996
2,0,18,-1.5027653112166308,-0.009024578805440518,0,1,1,-1.0236721120613579
2,0,1,0.5160262733341019,0.5017167643746511,0,0,0,-0.1893682750841905
1,0,20,0.05786080733677254,-1.2858779367556694,0,0,0,0.9091958053481725
1,0,19,-0.5148460251598892,-0.009024578805440518,1,1,0,-0.5104367057343633
2,1,22,0.5732969565837681,-1.573169942294471,0,0,0,2.409912808081669
2,1,20,1.7043929507646751,0.8209301038622082,0,0,0,0.16953208557244417
2,2,23,-0.6580227332840547,0.40595276252838386,0,0,0,-0.6749222295670926
0,0,3,-0.24281027972397487,-1.0624285991143794,0,0,0,0.27960578827002697
0,2,11,-0.5434813667847223,-0.7432152596268221,0,0,1,-0.22921574451951612
0,1,21,-0.5148460251598892,-1.0624285991143794,0,0,0,0.027238481846297867
1,1,19,-1.0732351868441343,-0.9028219293706007,0,1,0,-0.5656692548580516
0,2,17,-0.7296110873461373,1.7466487883761241,1,1,1,-0.8643231035194759
1,0,0,-1.0159645035944682,-1.2858779367556694,0,0,0,-0.28622827771159753
1,0,0,-0.8871054662827194,-0.009024578805440518,0,0,0,-0.7038297573938106
0,0,23,-0.6293873916592215,0.9805367736059868,0,0,0,-0.7526692218186927
1,0,13,-1.3882239447172984,1.172064777298521,0,0,1,-1.0403416367751357
0,2,3,0.18671984464852143,1.6189634525811012,1,0,0,-0.5704735596835873
0,2,4,1.2891804972045953,1.4912781167860785,1,0,0,-0.19791060775002325
2,1,10,1.1603214598928464,-1.4774059404482036,0,1,1,2.8257216801203184
0,0,23,-1.0445998452193013,-0.6793725917293106,0,0,0,-0.6265551833333048
2,0,22,0.9741917393314313,1.427435448888567,0,0,0,-0.28357177974924247
0,0,12,0.6162499690210177,0.5655594322721624,1,0,1,-0.16899959343734913
0,2,15,-1.5457183236538803,-1.2858779367556694,0,0,1,-0.8759708253544174
2,0,23,-1.2593649074055495,0.21442475883584952,0,0,0,-0.9226215212787011
2,2,12,0.28694354033543723,-0.32823791829299775,0,0,1,0.07546413716289696
0,0,23,0.01490779489952291,0.9166941057084754,1,0,0,-0.5027839481428097
1,0,21,-0.9014231370951359,0.5336380983234067,0,0,0,-0.8006071331615189
2,1,1,-1.1591412117186337,0.08673942304082664,0,0,0,-0.8586014156005575
1,0,15,-1.402541615529715,1.172064777298521,0,0,1,-1.0453225704545515
1,0,5,-0.12826891322464254,-1.1581926009606465,0,0,0,0.507451575041248
1,1,13,-0.35735164622330723,-1.2539566028069136,0,0,1,0.40136194487796656
2,2,0,0.2726258695230207,0.6294021001696739,0,0,0,-0.3315285587538625
1,2,16,0.5017086025216854,1.6189634525811012,1,0,1,-0.4730686343972356
2,0,10,1.4323572053287608,-1.5093272743969595,0,1,1,3.3478609347901034
1,2,18,0.24399052789818762,-0.7112939256780664,0,1,1,0.33148268244054535
0,0,2,1.6041692550777593,0.5974807662209182,1,0,0,0.229584496851214
0,1,10,-1.58867133609113,-1.190113934909402,0,1,1,-0.9451795880578777
2,1,4,0.9885094101438479,-0.6474512577805549,0,0,0,0.80341888648349
0,0,16,-0.6723404040964712,-0.3920805861905092,0,0,1,-0.4774961310011607
0,1,21,0.0005901240871063658,-0.16863124854921913,0,0,0,-0.17465536329268566
1,1,6,-1.2164118949682998,-1.668933944140738,0,0,1,-0.15178638083415086
2,0,9,0.35853189439752,1.5551207846835897,0,1,1,-0.5064176813977681
1,0,10,-0.19985726728672523,1.1401434433497655,1,1,1,-0.6218085878750429
1,1,2,0.31557888196027034,0.11866075698958237,0,0,0,-0.13551405154355567
1,2,19,-0.45757534191022303,-0.870900595421845,0,1,0,-0.07902143664790404
1,2,9,1.2175921431425125,-0.296316584344242,1,1,1,0.6056305381954187
1,0,9,1.4323572053287608,0.27826742673336097,1,1,1,0.3194532577053527
1,0,13,0.4444379192720192,0.4697954304258953,0,0,1,-0.20918983680330125
1,2,11,1.5039455593908435,-0.2643952503954863,0,0,1,0.7452859161485345
2,1,14,0.5160262733341019,-1.317799270704425,0,0,1,1.4961255904426163
0,2,9,-0.7868817705958036,-1.541248608345715,0,1,1,0.31354992890011923
1,2,9,-1.6745773609656291,0.5974807662209182,0,1,1,-1.1294685564429785
1,2,18,-0.14258658403705907,0.7570874359646967,1,1,1,-0.5298210908657298
1,2,0,1.51826323020326,-0.7751365935755778,0,0,0,1.364863338185073
1,0,23,-1.3309532614676323,1.203986111247277,0,0,0,-1.0219606691263186
1,0,9,1.4466748761411772,1.6189634525811012,1,1,1,-0.18085385853818076
1,1,1,-0.5148460251598892,0.8209301038622082,0,0,0,-0.686596713186533
0,1,16,-0.17122192566189215,-0.13670991460046342,0,0,1,-0.2833098714994328
0,1,23,-0.7152934165337208,-0.8389792614730892,0,0,0,-0.3067212619926222
2,1,6,-0.3143986337860576,1.6828061204786127,0,0,1,-0.7327689820712158
0,2,6,1.332133509641845,-1.2858779367556694,0,0,1,2.327765717245766
2,0,19,-1.273682578217966,1.1082221094010096,0,1,0,-0.9969622325489518
1,0,8,1.6900752799522585,0.6613234341184296,1,1,1,0.2347773851552856
2,1,21,-1.58867133609113,-0.9666645972681122,0,0,0,-0.9840017424901892
2,1,1,-1.1591412117186337,0.1825034248870938,0,0,0,-0.8710513846833896
