Weather,Road_Type,Time,Vehicle_Count,Speed,Accident
Foggy,Rural,14,38,125.0,0
Sunny,Highway,17,207,100.0,0
Foggy,Rural,17,133,50.0,0
Foggy,Highway,19,26,72.0,0
Sunny,Rural,8,218,53.0,0
Sunny,Rural,23,23,57.0,0
Foggy,Highway,1,161,76.0,1
Rainy,Rural,7,194,120.0,1
Foggy,City,19,59,23.0,0
Foggy,Highway,1,66,,0
Foggy,City,10,238,31.0,1
Foggy,Highway,6,198,54.0,0
Sunny,Rural,5,113,89.0,0
Foggy,Rural,9,48,129.0,1
Rainy,Rural,4,192,91.0,1
Sunny,Highway,10,105,40.0,0
Rainy,City,0,45,129.0,0
Rainy,City,1,123,80.0,0
Rainy,Highway,23,46,54.0,0
Rainy,Highway,0,249,67.0,0
Sunny,City,18,23,,0
Sunny,City,1,164,90.0,0
Rainy,City,20,132,34.0,0
Rainy,City,19,92,,1
Sunny,Highway,22,168,25.0,0
Sunny,Highway,20,247,100.0,0
Sunny,Rural,23,82,87.0,0
Foggy,City,3,111,41.0,0
Foggy,Rural,11,90,51.0,0
Foggy,Highway,21,92,41.0,0
Rainy,Highway,19,53,46.0,0
Foggy,Rural,17,77,129.0,1
Rainy,City,0,57,34.0,0
Rainy,City,0,66,,0
Foggy,City,23,84,105.0,0
Rainy,,13,31,111.0,0
Foggy,Rural,3,141,125.0,1
Foggy,Rural,4,218,121.0,1
Sunny,Highway,10,209,28.0,0
Foggy,City,23,55,53.0,0
Sunny,City,22,196,119.0,0
Foggy,City,12,171,92.0,1
Foggy,Rural,15,20,34.0,0
Sunny,City,23,40,81.0,0
Sunny,Rural,12,148,64.0,0
Foggy,City,23,129,103.0,1
Rainy,City,21,65,91.0,0
Sunny,Highway,1,47,77.0,0
Rainy,City,15,30,111.0,0
Rainy,City,5,119,38.0,0
Rainy,Highway,13,103,35.0,0
Sunny,Rural,0,147,94.0,0
Rainy,Rural,16,163,125.0,1
Sunny,City,10,228,27.0,0
Rainy,Rural,18,145,52.0,0
Foggy,City,2,240,93.0,1
Foggy,Highway,10,17,37.0,0
Sunny,Highway,4,197,54.0,0
Foggy,City,16,81,62.0,0
Foggy,Highway,21,128,69.0,0
Rainy,Highway,6,43,22.0,0
Sunny,City,9,153,123.0,0
Rainy,City,10,114,110.0,1
Rainy,Highway,2,150,78.0,0
Rainy,Rural,19,96,47.0,0
Rainy,Rural,9,213,65.0,1
Rainy,City,9,228,83.0,1
Rainy,City,13,159,89.0,0
Rainy,Rural,11,233,66.0,0
Sunny,Highway,14,164,33.0,0
Foggy,Rural,9,73,26.0,0
Rainy,Rural,9,11,93.0,0
Rainy,Rural,18,118,98.0,1
Rainy,Rural,0,234,50.0,0
Rainy,City,23,35,112.0,0
Rainy,City,9,229,125.0,1
Rainy,Highway,1,92,100.0,0
Foggy,Highway,16,116,70.0,0
Foggy,Highway,23,78,48.0,0
,Highway,6,106,127.0,0
Foggy,Rural,6,221,34.0,0
Sunny,City,19,39,109.0,0
Rainy,City,8,246,95.0,1
Sunny,Highway,21,17,44.0,0
Sunny,Highway,1,47,80.0,0
Rainy,Rural,13,198,60.0,0
Foggy,Rural,16,90,88.0,0
Sunny,Highway,0,117,23.0,0
Rainy,,8,74,127.0,0
Sunny,City,19,76,124.0,0
Sunny,City,20,183,76.0,0
Sunny,Highway,18,99,50.0,0
Sunny,City,3,104,22.0,0
Foggy,Rural,7,81,86.0,0
Sunny,Rural,12,52,109.0,0
Sunny,Highway,3,196,69.0,0
Sunny,Rural,8,55,36.0,0
Foggy,Highway,8,209,79.0,1
Sunny,City,21,134,93.0,0
Sunny,City,17,172,85.0,0
Foggy,City,11,48,107.0,0
Foggy,Rural,9,229,94.0,1
Foggy,Highway,10,60,43.0,0
Sunny,City,6,13,118.0,0
Foggy,Highway,8,130,106.0,1
Foggy,City,5,89,51.0,0
Sunny,Rural,18,86,106.0,0
Foggy,Rural,15,221,117.0,1
Sunny,Highway,14,188,124.0,0
Rainy,Rural,6,142,38.0,0
Foggy,Rural,15,64,85.0,0
Rainy,Highway,4,238,,0
Sunny,City,15,29,85.0,0
Foggy,Rural,0,161,34.0,0
Sunny,Highway,18,173,104.0,0
Rainy,Rural,4,43,54.0,0
Sunny,Rural,6,131,88.0,0
Foggy,Rural,18,118,126.0,1
Foggy,Rural,21,135,46.0,0
Rainy,Highway,4,249,107.0,1
Sunny,Highway,16,63,26.0,0
Foggy,,21,171,25.0,0
Rainy,Rural,7,220,129.0,1
Foggy,Rural,0,154,52.0,0
Foggy,Rural,1,142,77.0,0
Sunny,Highway,14,98,68.0,0
Foggy,Rural,19,155,36.0,1
Sunny,City,17,192,129.0,0
Foggy,Rural,10,62,61.0,0
Rainy,City,9,59,113.0,0
Foggy,Rural,23,81,91.0,0
Sunny,Highway,23,228,59.0,0
Sunny,Rural,3,216,65.0,0
Rainy,City,4,182,90.0,0
Foggy,City,3,150,89.0,0
Foggy,Rural,12,25,87.0,0
Rainy,City,12,223,20.0,0
Foggy,City,17,221,98.0,1
Foggy,Highway,23,22,114.0,0
Sunny,Rural,1,29,108.0,0
Foggy,Rural,15,75,116.0,0
Foggy,Rural,0,236,71.0,1
Rainy,City,18,56,54.0,0
Rainy,Rural,8,156,88.0,1
Sunny,Rural,2,182,24.0,0
Foggy,Highway,6,174,119.0,1
Foggy,Highway,9,131,36.0,0
Foggy,Highway,0,63,72.0,0
Sunny,City,9,15,71.0,0
Sunny,Rural,20,23,33.0,0
Rainy,Highway,8,141,48.0,0
Sunny,Highway,14,95,27.0,0
Foggy,Highway,14,192,117.0,1
Foggy,Rural,2,240,123.0,1
Sunny,Rural,4,237,20.0,0
Foggy,Rural,8,171,48.0,1
Foggy,City,21,36,55.0,0
Sunny,City,8,16,70.0,0
Sunny,Highway,22,140,56.0,0
Foggy,Rural,6,184,112.0,1
Foggy,Highway,23,234,88.0,1
Foggy,Rural,22,11,72.0,0
Rainy,Rural,11,243,115.0,1
Rainy,Rural,8,89,71.0,0
Rainy,City,5,162,107.0,1
Sunny,City,22,69,102.0,0
Rainy,Rural,1,216,31.0,0
Sunny,Highway,8,33,71.0,0
Sunny,Rural,16,24,20.0,0
Rainy,Rural,0,104,26.0,0
Rainy,Highway,18,151,36.0,0
Rainy,Rural,5,191,117.0,1
Foggy,Highway,4,215,62.0,1
Rainy,City,1,143,90.0,0
Foggy,City,8,215,36.0,1
